session_id,tenant,day,csat
s_acme_000006,acme-bank,0,4
s_acme_000040,acme-bank,0,5
s_acme_000052,acme-bank,0,4
s_acme_000057,acme-bank,0,5
s_acme_000063,acme-bank,0,3
s_acme_000066,acme-bank,0,1
s_acme_000080,acme-bank,0,4
s_acme_000091,acme-bank,0,2
s_acme_000103,acme-bank,0,5
s_acme_000109,acme-bank,0,4
s_acme_000138,acme-bank,0,3
s_acme_000151,acme-bank,0,3
s_acme_000153,acme-bank,0,4
s_acme_000170,acme-bank,0,2
s_acme_000172,acme-bank,0,2
s_acme_000173,acme-bank,0,4
s_acme_000176,acme-bank,0,3
s_acme_000186,acme-bank,0,4
s_acme_000229,acme-bank,0,4
s_acme_000231,acme-bank,0,5
s_acme_000233,acme-bank,0,5
s_acme_000238,acme-bank,0,3
s_acme_000242,acme-bank,0,1
s_acme_000253,acme-bank,0,5
s_acme_000262,acme-bank,0,3
s_acme_000274,acme-bank,0,4
s_acme_000296,acme-bank,0,4
s_acme_000330,acme-bank,0,3
s_acme_000343,acme-bank,0,4
s_acme_000349,acme-bank,0,4
s_acme_000358,acme-bank,0,3
s_acme_000359,acme-bank,0,2
s_acme_000383,acme-bank,0,4
s_acme_000384,acme-bank,0,5
s_acme_000393,acme-bank,0,5
s_acme_000411,acme-bank,0,4
s_acme_000469,acme-bank,0,5
s_acme_000471,acme-bank,0,5
s_acme_000478,acme-bank,0,4
s_acme_000482,acme-bank,0,4
s_acme_000489,acme-bank,0,4
s_acme_000530,acme-bank,1,3
s_acme_000548,acme-bank,1,2
s_acme_000562,acme-bank,1,5
s_acme_000567,acme-bank,1,3
s_acme_000571,acme-bank,1,5
s_acme_000580,acme-bank,1,5
s_acme_000587,acme-bank,1,5
s_acme_000588,acme-bank,1,5
s_acme_000622,acme-bank,1,4
s_acme_000634,acme-bank,1,4
s_acme_000636,acme-bank,1,4
s_acme_000637,acme-bank,1,4
s_acme_000654,acme-bank,1,5
s_acme_000664,acme-bank,1,4
s_acme_000670,acme-bank,1,2
s_acme_000682,acme-bank,1,4
s_acme_000686,acme-bank,1,3
s_acme_000713,acme-bank,1,3
s_acme_000716,acme-bank,1,3
s_acme_000722,acme-bank,1,4
s_acme_000728,acme-bank,1,3
s_acme_000733,acme-bank,1,5
s_acme_000739,acme-bank,1,5
s_acme_000746,acme-bank,1,4
s_acme_000780,acme-bank,1,4
s_acme_000786,acme-bank,1,4
s_acme_000787,acme-bank,1,5
s_acme_000789,acme-bank,1,3
s_acme_000796,acme-bank,1,2
s_acme_000808,acme-bank,1,4
s_acme_000815,acme-bank,1,4
s_acme_000836,acme-bank,1,4
s_acme_000843,acme-bank,1,5
s_acme_000853,acme-bank,1,5
s_acme_000863,acme-bank,1,5
s_acme_000866,acme-bank,1,4
s_acme_000869,acme-bank,1,2
s_acme_000873,acme-bank,1,4
s_acme_000875,acme-bank,1,4
s_acme_000880,acme-bank,1,5
s_acme_000884,acme-bank,1,2
s_acme_000888,acme-bank,1,4
s_acme_000899,acme-bank,1,4
s_acme_000906,acme-bank,1,1
s_acme_000910,acme-bank,1,1
s_acme_000915,acme-bank,1,3
s_acme_000918,acme-bank,1,3
s_acme_000941,acme-bank,1,3
s_acme_000963,acme-bank,1,4
s_acme_000965,acme-bank,1,5
s_acme_000975,acme-bank,1,5
s_acme_000990,acme-bank,1,5
s_acme_001004,acme-bank,1,4
s_acme_001015,acme-bank,1,3
s_acme_001027,acme-bank,1,3
s_acme_001029,acme-bank,1,2
s_acme_001062,acme-bank,1,5
s_acme_001074,acme-bank,2,5
s_acme_001089,acme-bank,2,5
s_acme_001100,acme-bank,2,3
s_acme_001113,acme-bank,2,4
s_acme_001125,acme-bank,2,3
s_acme_001128,acme-bank,2,5
s_acme_001130,acme-bank,2,4
s_acme_001143,acme-bank,2,2
s_acme_001180,acme-bank,2,3
s_acme_001198,acme-bank,2,3
s_acme_001225,acme-bank,2,5
s_acme_001231,acme-bank,2,4
s_acme_001238,acme-bank,2,4
s_acme_001246,acme-bank,2,4
s_acme_001257,acme-bank,2,4
s_acme_001290,acme-bank,2,4
s_acme_001297,acme-bank,2,4
s_acme_001305,acme-bank,2,5
s_acme_001310,acme-bank,2,1
s_acme_001327,acme-bank,2,4
s_acme_001338,acme-bank,2,4
s_acme_001339,acme-bank,2,3
s_acme_001346,acme-bank,2,3
s_acme_001365,acme-bank,2,5
s_acme_001383,acme-bank,2,4
s_acme_001388,acme-bank,2,5
s_acme_001389,acme-bank,2,5
s_acme_001399,acme-bank,2,5
s_acme_001422,acme-bank,2,5
s_acme_001430,acme-bank,2,4
s_acme_001437,acme-bank,2,4
s_acme_001461,acme-bank,2,4
s_acme_001480,acme-bank,2,4
s_acme_001492,acme-bank,2,5
s_acme_001521,acme-bank,2,5
s_acme_001522,acme-bank,2,4
s_acme_001532,acme-bank,2,5
s_acme_001536,acme-bank,2,3
s_acme_001574,acme-bank,2,5
s_acme_001582,acme-bank,2,5
s_acme_001584,acme-bank,2,5
s_acme_001589,acme-bank,2,2
s_acme_001604,acme-bank,2,5
s_acme_001611,acme-bank,2,2
s_acme_001627,acme-bank,2,5
s_acme_001655,acme-bank,2,4
s_acme_001689,acme-bank,3,4
s_acme_001701,acme-bank,3,5
s_acme_001702,acme-bank,3,3
s_acme_001730,acme-bank,3,5
s_acme_001732,acme-bank,3,4
s_acme_001741,acme-bank,3,5
s_acme_001743,acme-bank,3,5
s_acme_001773,acme-bank,3,3
s_acme_001778,acme-bank,3,4
s_acme_001794,acme-bank,3,2
s_acme_001806,acme-bank,3,2
s_acme_001815,acme-bank,3,5
s_acme_001822,acme-bank,3,4
s_acme_001835,acme-bank,3,4
s_acme_001847,acme-bank,3,3
s_acme_001851,acme-bank,3,5
s_acme_001852,acme-bank,3,4
s_acme_001856,acme-bank,3,4
s_acme_001859,acme-bank,3,5
s_acme_001860,acme-bank,3,4
s_acme_001861,acme-bank,3,3
s_acme_001885,acme-bank,3,3
s_acme_001886,acme-bank,3,5
s_acme_001892,acme-bank,3,5
s_acme_001900,acme-bank,3,5
s_acme_001924,acme-bank,3,3
s_acme_001945,acme-bank,3,5
s_acme_001947,acme-bank,3,5
s_acme_001965,acme-bank,3,2
s_acme_001984,acme-bank,3,4
s_acme_001994,acme-bank,3,1
s_acme_001999,acme-bank,3,4
s_acme_002012,acme-bank,3,3
s_acme_002021,acme-bank,3,4
s_acme_002023,acme-bank,3,5
s_acme_002028,acme-bank,3,3
s_acme_002046,acme-bank,3,5
s_acme_002049,acme-bank,3,3
s_acme_002050,acme-bank,3,3
s_acme_002070,acme-bank,3,1
s_acme_002115,acme-bank,3,3
s_acme_002146,acme-bank,3,4
s_acme_002167,acme-bank,3,5
s_acme_002185,acme-bank,3,5
s_acme_002208,acme-bank,3,5
s_acme_002223,acme-bank,3,4
s_acme_002237,acme-bank,4,3
s_acme_002253,acme-bank,4,5
s_acme_002255,acme-bank,4,3
s_acme_002258,acme-bank,4,3
s_acme_002260,acme-bank,4,5
s_acme_002261,acme-bank,4,3
s_acme_002265,acme-bank,4,2
s_acme_002287,acme-bank,4,5
s_acme_002291,acme-bank,4,5
s_acme_002297,acme-bank,4,4
s_acme_002315,acme-bank,4,2
s_acme_002362,acme-bank,4,5
s_acme_002369,acme-bank,4,2
s_acme_002370,acme-bank,4,5
s_acme_002371,acme-bank,4,2
s_acme_002393,acme-bank,4,4
s_acme_002424,acme-bank,4,5
s_acme_002457,acme-bank,4,5
s_acme_002482,acme-bank,4,4
s_acme_002488,acme-bank,4,3
s_acme_002489,acme-bank,4,4
